subject,n_ref,centre_err_median,centre_err_p90,scale_err_median,scale_err_p90,centre_err_EDA,centre_err_HR,centre_err_IMU,centre_err_CROSS
S11,25,0.31959451330848443,0.6580000000000004,0.5162046996027748,0.8044093322177741,0.296824169770319,0.38779101378315206,0.2319598858841324,0.4327993920815198
S11,30,0.3437137247884088,0.706451612903226,0.56964738532963,0.7982323769747458,0.30551430017387166,0.36805411317995534,0.25924681369625774,0.4414002229509122
S11,40,0.28343380373775257,0.682347698012842,0.4846825430706004,0.819195250630343,0.2917122855839521,0.3092561256273709,0.2176480894212667,0.4977682220099898
S11,50,0.22497892021665455,0.5088748567708169,0.5,0.7643986890711572,0.20968718346277676,0.2370370520284921,0.1885098303936219,0.4977682220099898
S11,75,0.2259949359226595,0.5798989403618062,0.43055492808045986,0.6691665606980165,0.3227827269592609,0.34366171335047485,0.06654337635138005,0.6335282677054781
S11,100,0.09797867722801899,0.5076382660283894,0.49452570574677174,0.688454419586348,0.12460701869120731,0.34327767589738994,0.05177666077423252,0.47125495919207566
S13,10,0.5868494830805286,1.5818559272348003,0.6397058823529411,1.0,0.37066988760041114,0.43337382203712205,0.9675835572345727,0.3523901335915241
S13,15,0.3236617673743422,1.5809845097305577,0.5216646328638423,0.9899751854170504,0.16927988366767022,0.1812903060147243,0.9231304058701325,0.3523901335915241
S13,20,0.2864873475483624,1.5167217077313522,0.47635320549723625,0.7461041280728345,0.13161087161170232,0.1812903060147243,0.8188945175508464,0.3523901335915241
S13,25,0.29411764705882354,1.249246955777421,0.5996904966316163,0.9882907035368325,0.06697271340884405,0.17452430919192038,0.6345703901900982,0.3523901335915241
S13,30,0.17452430919192038,0.7631294529120682,0.5389656522441612,1.420204796096983,0.07385478268483135,0.17452430919192038,0.4390912172859409,0.20947854807469762
S13,40,0.16666666666666713,0.5356113819571212,0.4227909123143947,1.3697149202266548,0.07300653594771243,0.1714770259325212,0.33742547022039104,0.15119918060332657
S13,50,0.15243672964327312,0.43221280713088833,0.36736780938168817,1.0233575867642062,0.09768241721120172,0.11567532930495592,0.31235376712170304,0.03307409506336742
S13,75,0.14103828806917226,0.6002376493995527,0.5209779129010867,0.9999999999999998,0.07277651966817714,0.14103828806917226,0.3827474216412543,0.12828307131009783
S13,100,0.142231875473064,0.5197252695713931,0.43313519995382843,0.9291646676564349,0.11368562769573504,0.13757927426027433,0.2655320671841227,0.09986280780414872
S14,10,0.20916864157857468,0.5457189660117158,0.7155500893219238,0.9692060748240524,0.46507944680101654,0.3381776253282047,0.09247526553955168,0.8351871610626465
S14,15,0.25392238499958514,0.5266203147220424,0.6035384988179324,0.9536341611144761,0.35717689776339884,0.31973245341166406,0.18723367138994396,0.6849494852953752
S14,20,0.28939491838017073,0.5376351318501413,0.5293551863385851,0.9299567685754448,0.17436815282955956,0.3032978974128656,0.2812212541426909,0.47934358977204405
S14,25,0.2766600371644214,0.5487571939306635,0.5439355800160521,0.906027776576721,0.221187673402591,0.2586655862047812,0.3137303170303928,0.3927099617923373
S14,30,0.3089188787572718,0.5233179197709315,0.6961566938352641,1.9679785320125278,0.3333767587285045,0.22117488510650266,0.34081548390775296,0.5161434663241194
S14,40,0.26053608616015533,0.5155451357617151,0.5544797481706838,1.9132005082300159,0.5,0.20283026515765587,0.24854622975014493,0.5154368756901155
S14,50,0.18285684556497028,0.34542050410817193,0.4192965640651096,1.0694546466850694,0.23295950522261052,0.17890050431675372,0.16807287538294063,0.3366402263776078
S14,75,0.1660579649056259,0.4308534981755575,0.31791008773933777,0.664598864191407,0.23085594802163875,0.16536241235424287,0.11240643428856417,0.24886629911666203
S14,100,0.09883815682374092,0.44913848139991386,0.3192102905375551,0.6383624209775948,0.14255983834979646,0.2152158307239581,0.04698638472143381,0.10599958964467333
S15,10,0.22222222222222232,0.8787573597183785,0.7906114988160502,0.9823117349818271,0.07434407435294368,0.40629649950774954,0.4235919336705855,0.24658418036691848
S15,15,0.21221463846412206,0.7485598023490805,0.7121212121212122,0.9359394673674186,0.10112294370820411,0.21221463846412206,0.3294340714397891,0.2418329599843237
S15,20,0.1193241863955073,0.6228127525781002,0.3975243531933923,0.7206657349729337,0.06830739836151306,0.08130942278004517,0.4124907266051143,0.16304660377324615
S15,25,0.12499999999999999,0.4463014080426704,0.4845615849956148,0.7307766933824739,0.15134468101169068,0.04982921774047937,0.12101177112963069,0.13632907046170667
S15,30,0.2050920817137565,0.5554616113363361,0.5100314862556142,0.7972981859548252,0.35969718045332677,0.045047758697070873,0.16504604085687824,0.22333437487907284
S15,40,0.14613168789005596,0.4822557126512233,0.5602786723397155,0.8310338565216221,0.25422428523614066,0.08130942278004517,0.11988809986480323,0.20964308343912563
S15,50,0.12962962962962965,0.46192910290384265,0.6135123922678883,0.870298357138778,0.1910933006695149,0.08130942278004517,0.12310606060606058,0.21360755585062755
S15,75,0.13632758364357986,0.38228690966818013,0.5886460977627072,0.8413900068129202,0.17621759304588874,0.13632758364357886,0.12310606060606052,0.25380614544081387
S15,100,0.1509785902698663,0.325096221987962,0.4717290581108514,0.8075902527231398,0.1556936845469722,0.06409909076215345,0.16135381087534933,0.17615875947698262
S16,10,0.22363293557174116,0.7604478177196249,0.7512094608865333,0.9926529301134671,0.12356870229007633,0.18593921202320854,0.4966256703388042,0.14044809269717437
