subject,n_test,accuracy,balanced_acc,macro_f1,n_ref,eval
S9,371,0.9973045822102425,0.9957983193277311,0.9969001963487488,40,per_n
S10,326,0.9601226993865031,0.9529377545084352,0.9583640346999125,50,fixed
S11,317,0.8990536277602523,0.8811185905426743,0.8912334877337451,50,fixed
S13,317,0.8990536277602523,0.8767340798930303,0.8895470383275261,50,fixed
S14,317,0.6719242902208202,0.594053851907255,0.5616423784703755,50,fixed
S15,318,0.7987421383647799,0.831578947368421,0.7987341772151899,50,fixed
S16,315,0.9555555555555556,0.9631578947368421,0.9543591654247392,50,fixed
S17,326,0.8466257668711656,0.8148148148148149,0.828493265993266,50,fixed
S2,295,0.6542372881355932,0.5486725663716814,0.47926761733351797,50,fixed
S3,301,0.6710963455149501,0.5805084745762712,0.5322345184836355,50,fixed
S4,304,0.993421052631579,0.9946524064171123,0.993074539821396,50,fixed
S5,314,0.9872611464968153,0.9831932773109244,0.9863768493210117,50,fixed
S6,312,0.9935897435897436,0.9917355371900827,0.9932291666666666,50,fixed
S7,311,0.9260450160771704,0.9223017476069202,0.9216066633788152,50,fixed
S8,312,0.967948717948718,0.9596774193548387,0.9660382287630078,50,fixed
S9,311,1.0,1.0,1.0,50,fixed
S10,376,0.9654255319148937,0.953480866758875,0.9617188907249759,50,per_n
S11,367,0.9128065395095368,0.8843772640453138,0.8991619727984612,50,per_n
S13,367,0.9128065395095368,0.8788663215186512,0.8971988795518206,50,per_n
S14,367,0.7166212534059946,0.5967694131594546,0.5806082981715893,50,per_n
S15,368,0.8260869565217391,0.8666666666666667,0.823076923076923,50,per_n
S16,365,0.9616438356164384,0.9708333333333333,0.9584633892573806,50,per_n
S17,376,0.8670212765957447,0.8148148148148149,0.8393711551606289,50,per_n
S2,345,0.7043478260869566,0.5486725663716814,0.4986036703522171,50,per_n
S3,351,0.717948717948718,0.5805084745762712,0.5510755119178348,50,per_n
S4,354,0.9943502824858758,0.9957805907172996,0.9936440677966102,50,per_n
S5,364,0.989010989010989,0.9831932773109244,0.98740440845704,50,per_n
S6,362,0.994475138121547,0.9917355371900827,0.9937672176308541,50,per_n
S7,361,0.9362880886426593,0.9286984724837832,0.9277654530427595,50,per_n
S8,362,0.9723756906077348,0.9596774193548387,0.968703530795034,50,per_n
S9,361,1.0,1.0,1.0,50,per_n
S10,326,0.9601226993865031,0.9529377545084352,0.9583640346999125,75,fixed
S11,317,0.8422712933753943,0.8015873015873016,0.8183672533920059,75,fixed
S13,317,0.8990536277602523,0.88105883336119,0.8908308222126561,75,fixed
S14,317,0.668769716088328,0.5833333333333334,0.5350542681138164,75,fixed
S15,318,0.8301886792452831,0.8578947368421053,0.830081139916881,75,fixed
