subject,n_test,accuracy,balanced_acc,macro_f1,n_ref,eval
S10,386,0.9507772020725389,0.9518813634351484,0.9465120519272143,40,per_n
S11,377,0.9177718832891246,0.892793903750079,0.9046184984779113,40,per_n
S13,377,0.9257294429708223,0.913824429427515,0.9155303757761988,40,per_n
S14,377,0.7984084880636605,0.7122462530829065,0.7326241134751773,40,per_n
S15,378,0.8650793650793651,0.898,0.8601452376979608,40,per_n
S16,375,0.9573333333333334,0.968,0.9533958864102405,40,per_n
S17,386,0.8782383419689119,0.825925925925926,0.8518137338985681,40,per_n
S2,355,0.7295774647887324,0.5752212389380531,0.5480106100795756,40,per_n
S3,361,0.7645429362880887,0.6398305084745762,0.6441122232402778,40,per_n
S4,364,0.9725274725274725,0.9797570850202428,0.9691776182089147,40,per_n
S5,374,0.8796791443850267,0.8109243697478992,0.8428791485786304,40,per_n
S6,372,0.989247311827957,0.9834710743801653,0.9876440694855018,40,per_n
S7,371,0.9649595687331537,0.9471762577879012,0.9585385772619814,40,per_n
S8,372,0.9919354838709677,0.9879032258064516,0.99087153899636,40,per_n
S9,371,0.9838274932614556,0.9747899159663865,0.9811866125760649,40,per_n
S10,326,0.9601226993865031,0.9529377545084352,0.9583640346999125,50,fixed
S11,317,0.9085173501577287,0.8903224466051691,0.9012492883460625,50,fixed
S13,317,0.917981072555205,0.90813555072706,0.9128384094754654,50,fixed
S14,317,0.6750788643533123,0.5993725587966425,0.5712447310020616,50,fixed
S15,318,0.8176100628930818,0.8473684210526315,0.8175812003006686,50,fixed
S16,315,0.9619047619047619,0.968421052631579,0.9607948888151344,50,fixed
S17,326,0.911042944785276,0.8925925925925926,0.9045542195434675,50,fixed
S2,295,0.6677966101694915,0.5663716814159292,0.5111268939393939,50,fixed
S3,301,0.6877076411960132,0.6016949152542372,0.566840171463564,50,fixed
S4,304,0.9868421052631579,0.9893048128342246,0.9861912332500568,50,fixed
S5,314,0.9808917197452229,0.9747899159663865,0.9794932079414838,50,fixed
S6,312,0.9775641025641025,0.9786465319544806,0.9764794572182435,50,fixed
S7,311,0.9389067524115756,0.9376042855888294,0.9354468684794126,50,fixed
S8,312,1.0,1.0,1.0,50,fixed
S9,311,0.9967845659163987,0.9957983193277311,0.9965915940599486,50,fixed
S10,376,0.9654255319148937,0.953480866758875,0.9617188907249759,50,per_n
S11,367,0.9209809264305178,0.8924948956069287,0.9084023994560775,50,per_n
S13,367,0.9291553133514986,0.9129330943847073,0.9195175438596491,50,per_n
S14,367,0.7193460490463215,0.6026312322992821,0.5902463876513502,50,per_n
S15,368,0.842391304347826,0.8791666666666667,0.8389229329549914,50,per_n
S16,365,0.9671232876712329,0.975,0.9642787238207086,50,per_n
S17,376,0.9228723404255319,0.8925925925925926,0.9114582910410796,50,per_n
S2,345,0.7159420289855073,0.5663716814159292,0.5299988879003559,50,per_n
S3,351,0.7321937321937322,0.6016949152542372,0.5850855130784709,50,per_n
S4,354,0.9887005649717514,0.9915611814345991,0.9873413195065259,50,per_n
S5,364,0.9835164835164835,0.9747899159663865,0.9810205784204672,50,per_n
S6,362,0.9806629834254144,0.9813620932066802,0.9784073963614673,50,per_n
S7,361,0.9473684210526315,0.9434679500592871,0.9405823089650631,50,per_n
S8,362,1.0,1.0,1.0,50,per_n
S9,361,0.997229916897507,0.9957983193277311,0.9968593675235983,50,per_n
S10,326,0.9570552147239264,0.9503199534613147,0.9552197802197802,75,fixed
S11,317,0.861198738170347,0.8253968253968254,0.8425875767425063,75,fixed
S13,317,0.917981072555205,0.90813555072706,0.9128384094754654,75,fixed
S14,317,0.6908517350157729,0.6111111111111112,0.5797348484848485,75,fixed
S15,318,0.8490566037735849,0.8736842105263158,0.8487634749524413,75,fixed
S16,315,0.9396825396825397,0.95,0.9383682253962042,75,fixed
S17,326,0.9539877300613497,0.9520457630405275,0.9525367136769973,75,fixed
S2,295,0.7084745762711865,0.6194690265486725,0.5973015873015873,75,fixed
S3,301,0.6644518272425249,0.5720338983050848,0.5177888809580459,75,fixed
S4,304,0.9605263157894737,0.9679144385026738,0.9590351704622018,75,fixed
S5,314,0.9968152866242038,0.9957983193277311,0.9966115229801331,75,fixed
S6,312,0.9871794871794872,0.9864999350958419,0.9864999350958419,75,fixed
S7,311,0.9485530546623794,0.9585492227979275,0.9466323466323466,75,fixed
S8,312,0.9839743589743589,0.9798387096774194,0.9831502543663524,75,fixed
S9,311,0.977491961414791,0.9705882352941176,0.9758970781988685,75,fixed
S10,351,0.9601139601139601,0.950925925925926,0.9572398190045248,75,per_n
S11,342,0.8713450292397661,0.8253968253968254,0.8480122818358112,75,per_n
S13,342,0.9239766081871345,0.9108094110683634,0.9165540540540541,75,per_n
S14,342,0.7134502923976608,0.6111111111111112,0.5893653516295025,75,per_n
S15,343,0.8600583090379009,0.8883720930232558,0.8582254064480572,75,per_n
S16,340,0.9441176470588235,0.9558139534883721,0.9415696596387448,75,per_n
S17,351,0.9430199430199431,0.9425925925925926,0.9401391636537281,75,per_n
S2,320,0.73125,0.6194690265486725,0.6068571428571429,75,per_n
S3,326,0.6901840490797546,0.5720338983050848,0.5282470090980729,75,per_n
S4,329,0.9635258358662614,0.9716981132075472,0.9610466493014445,75,per_n
S5,339,0.9970501474926253,0.9957983193277311,0.9967565085105772,75,per_n
S6,337,0.9881305637982196,0.987105907560453,0.987105907560453,75,per_n
S7,336,0.9523809523809523,0.963302752293578,0.9492063492063492,75,per_n
