subject,n_test,accuracy,balanced_acc,macro_f1,n_ref,eval
S13,317,0.7791798107255521,0.8085617583152265,0.7788078149920254,30,fixed
S14,317,0.6277602523659306,0.5425496551151001,0.4847658402203857,30,fixed
S15,318,0.7327044025157232,0.7763157894736843,0.7312987723047866,30,fixed
S16,315,0.9619047619047619,0.968421052631579,0.9607948888151344,30,fixed
S17,326,0.5858895705521472,0.5,0.3694390715667311,30,fixed
S2,295,0.6101694915254238,0.4945054945054945,0.37894736842105264,30,fixed
S3,301,0.7342192691029901,0.6610169491525424,0.653903644935035,30,fixed
S4,304,1.0,1.0,1.0,30,fixed
S5,314,0.945859872611465,0.9285714285714286,0.9406539406539407,30,fixed
S6,312,0.9551282051282052,0.9466920514040933,0.9521367521367521,30,fixed
S7,311,0.9196141479099679,0.8940677966101696,0.9103446685347263,30,fixed
S8,312,0.9807692307692307,0.9758064516129032,0.9797499026437627,30,fixed
S9,311,1.0,1.0,1.0,30,fixed
S10,396,0.7373737373737373,0.7936143039591315,0.7358577695682291,30,per_n
S11,387,0.7209302325581395,0.7931034482758621,0.7195652173913043,30,per_n
S13,387,0.7751937984496124,0.8196829387955353,0.768459491242186,30,per_n
S14,387,0.6950904392764858,0.5481663929939792,0.5121153846153846,30,per_n
S15,388,0.7809278350515464,0.8365384615384616,0.7776654194896686,30,per_n
S16,385,0.9688311688311688,0.976923076923077,0.9652882130191742,30,per_n
S17,396,0.6590909090909091,0.5,0.3972602739726027,30,per_n
S2,365,0.684931506849315,0.49603174603174605,0.4065040650406504,30,per_n
S3,371,0.784366576819407,0.6610169491525424,0.6753303579242146,30,per_n
S4,374,1.0,1.0,1.0,30,per_n
S5,384,0.9557291666666666,0.9285714285714286,0.9459991562368162,30,per_n
S6,382,0.9633507853403142,0.9487983281086729,0.9568779229156588,30,per_n
S7,381,0.9343832020997376,0.8940677966101696,0.918072268430514,30,per_n
S8,382,0.9842931937172775,0.9758064516129032,0.9818561793483424,30,per_n
S9,381,1.0,1.0,1.0,30,per_n
S10,326,0.8190184049079755,0.8390343222803955,0.8188803615989453,40,fixed
S11,317,0.9116719242902208,0.9253511177594947,0.910314445073155,40,fixed
S13,317,0.7287066246056783,0.7512535517299014,0.7277285075103868,40,fixed
S14,317,0.6309148264984227,0.5384151915565528,0.46095487246566386,40,fixed
S15,318,0.7547169811320755,0.7947368421052632,0.7540944600864496,40,fixed
S16,315,0.9206349206349206,0.9342105263157895,0.9193341869398207,40,fixed
S17,326,0.6073619631901841,0.5259259259259259,0.42380557856945594,40,fixed
S2,295,0.6644067796610169,0.5619469026548672,0.5033247733882077,40,fixed
S3,301,0.7674418604651163,0.7033898305084746,0.708881397148226,40,fixed
S4,304,1.0,1.0,1.0,40,fixed
S5,314,0.9490445859872612,0.9327731092436975,0.944259530466427,40,fixed
S6,312,0.9711538461538461,0.9658387780710485,0.9693847512511039,40,fixed
S7,311,0.9356913183279743,0.9169008518485993,0.9293759651194478,40,fixed
S8,312,0.967948717948718,0.9596774193548387,0.9660382287630078,40,fixed
S9,311,0.9903536977491961,0.9873949579831933,0.9897410522843477,40,fixed
S10,386,0.8341968911917098,0.8622399291722,0.8295100069013113,40,per_n
S11,377,0.8912466843501327,0.9163504711313477,0.8852768067214416,40,per_n
S13,377,0.7374005305039788,0.7673403034553105,0.7290978638775376,40,per_n
S14,377,0.6896551724137931,0.5396667299057737,0.48401473942796985,40,per_n
S15,378,0.7671957671957672,0.8240000000000001,0.7652969067509596,40,per_n
S16,375,0.9333333333333333,0.95,0.9282296650717703,40,per_n
S17,386,0.6683937823834197,0.5259259259259259,0.4477084730605857,40,per_n
S2,355,0.7211267605633803,0.5619469026548672,0.5253305600950825,40,per_n
S3,361,0.8060941828254847,0.7033898305084746,0.7262069862182543,40,per_n
S4,364,1.0,1.0,1.0,40,per_n
S5,374,0.9572192513368984,0.9327731092436975,0.9487548384886788,40,per_n
S6,372,0.9758064516129032,0.9670903164202693,0.9721369185828777,40,per_n
S7,371,0.9380053908355795,0.9115863870838079,0.9258908642447087,40,per_n
S8,372,0.9731182795698925,0.9596774193548387,0.9691101737137543,40,per_n
S9,371,0.9919137466307277,0.9873949579831933,0.9906584413949389,40,per_n
S10,326,0.8865030674846626,0.8911964320341283,0.8846789999521966,50,fixed
S11,317,0.8706624605678234,0.8697124574087924,0.8661827541827543,50,fixed
S13,317,0.9242902208201893,0.9262911582817984,0.9213789682539683,50,fixed
S14,317,0.6277602523659306,0.5439001080362337,0.4894354662590085,50,fixed
S15,318,0.7641509433962265,0.8026315789473684,0.7637561289683522,50,fixed
S16,315,0.8793650793650793,0.9,0.8784722222222222,50,fixed
S17,326,0.6073619631901841,0.5259259259259259,0.42380557856945594,50,fixed
S2,295,0.6711864406779661,0.5707964601769911,0.5188249339992265,50,fixed
S3,301,0.7674418604651163,0.7033898305084746,0.708881397148226,50,fixed
S4,304,1.0,1.0,1.0,50,fixed
S5,314,0.9840764331210191,0.9806291747468219,0.9830003789724433,50,fixed
S6,312,0.9871794871794872,0.9880143654536802,0.9865401207937877,50,fixed
S7,311,0.9260450160771704,0.9041889874418196,0.9182560996514485,50,fixed
S8,312,0.9903846153846154,0.9879032258064516,0.9899197673792473,50,fixed
S9,311,1.0,1.0,1.0,50,fixed
S10,376,0.901595744680851,0.9053173505455663,0.8954731582704083,50,per_n
S11,367,0.8801089918256131,0.8765230850293091,0.8694203648596197,50,per_n
S13,367,0.9346049046321526,0.9348201247842824,0.9280203974895398,50,per_n
S14,367,0.6784741144414169,0.548788118290193,0.5104675348164225,50,per_n
S15,368,0.7744565217391305,0.8270833333333334,0.7730471159061694,50,per_n
S16,365,0.8958904109589041,0.9208333333333334,0.8910413524384113,50,per_n
S17,376,0.6595744680851063,0.5259259259259259,0.44437774186100204,50,per_n
S2,345,0.7188405797101449,0.5707964601769911,0.5375782448285868,50,per_n
S3,351,0.8005698005698005,0.7033898305084746,0.7238581190433375,50,per_n
S4,354,1.0,1.0,1.0,50,per_n
S5,364,0.9862637362637363,0.9811524609843938,0.9842907082128523,50,per_n
S6,362,0.988950276243094,0.9896437022049999,0.9876366120218579,50,per_n
S7,361,0.9307479224376731,0.9006068215107763,0.9176438381165306,50,per_n
S8,362,0.9917127071823204,0.9879032258064516,0.9907460270120574,50,per_n
S9,361,1.0,1.0,1.0,50,per_n
S10,326,0.8926380368098159,0.9072910606942021,0.8921009579467976,75,fixed
S11,317,0.889589905362776,0.8611111111111112,0.8773884118511642,75,fixed
S13,317,0.8801261829652997,0.8626316229316396,0.8708397666838222,75,fixed
S14,317,0.668769716088328,0.5833333333333334,0.5350542681138164,75,fixed
S15,318,0.7735849056603774,0.8105263157894738,0.7733607855559075,75,fixed
